Time,Town
18:00,westport
18:02,east-windsor
18:04,madison
18:06,ellington
18:08,cheshire
18:10,fairfield
18:12,somers
18:14,bridgeport
18:16,stafford
18:18,willington
18:20,tolland
18:22,vernon
18:24,groton
18:26,oxford
18:28,milford
18:30,new-london
18:32,east-granby
18:34,granby
18:36,stonington
18:38,avon
18:40,suffield
18:42,berlin
18:44,windsor
18:46,bloomfield
18:48,windsor-locks
18:50,canton
18:52,farmington
18:54,hartford
18:56,east-hartford
18:58,simsbury
19:00,southington
19:02,west-hartford
19:04,hamden
19:06,redding
19:08,brookfield
19:10,monroe
19:12,easton
19:14,bethel
19:16,southbury
19:18,meriden
19:20,north-haven
19:22,stratford
19:24,wallingford
19:26,west-haven
19:28,naugatuck
19:30,new-canaan
19:32,norwalk
19:34,shelton
19:36,derby
19:38,trumbull
19:40,greenwich
19:42,newtown
19:44,danbury
19:46,stamford
19:48,guilford
19:50,darien
19:52,glastonbury
19:54,manchester
19:56,mansfield
19:58,middletown
